Type of Vehicle,Year,Value,Sum
Bus,2000,530,50194
Bus,2001,628,50473
Bus,2002,868,15597
Bus,2003,529,52741
Bus,2004,512,54091
Bus,2005,87,38782
Bus,2006,374,28607
Bus,2007,73,26691
Bus,2008,70,25274
Bus,2009,50,24960
Bus,2010,46,22527
Bus,2011,225,25570
Bus,2012,214,24439
Bus,2013,176,19900
Bus,2014,199,19704
Bus,2015,135,18258
Bus,2016,138,19073
Bus,2017,129,26024
Bus,2018,245,22966
Bus,2019,96,15044
Jeep,2000,555,50194
Jeep,2001,487,50473
Jeep,2002,335,15597
Jeep,2003,573,52741
Jeep,2004,585,54091
Jeep,2005,282,38782
Jeep,2006,232,28607
Jeep,2007,229,26691
Jeep,2008,245,25274
Jeep,2009,209,24960
Jeep,2010,235,22527
Jeep,2011,495,25570
Jeep,2012,510,24439
Jeep,2013,461,19900
Jeep,2014,428,19704
Jeep,2015,402,18258
Jeep,2016,415,19073
Jeep,2017,615,26024
Jeep,2018,448,22966
Jeep,2019,225,15044
Trailer/Lorry,2000,1065,50194
Trailer/Lorry,2001,921,50473
Trailer/Lorry,2002,131,15597
Trailer/Lorry,2003,1227,52741
Trailer/Lorry,2004,1226,54091
Trailer/Lorry,2005,698,38782
Trailer/Lorry,2006,601,28607
Trailer/Lorry,2007,550,26691
Trailer/Lorry,2008,487,25274
Trailer/Lorry,2009,455,24960
Trailer/Lorry,2010,400,22527
Trailer/Lorry,2011,654,25570
Trailer/Lorry,2012,570,24439
Trailer/Lorry,2013,456,19900
Trailer/Lorry,2014,489,19704
Trailer/Lorry,2015,467,18258
Trailer/Lorry,2016,403,19073
Trailer/Lorry,2017,639,26024
Trailer/Lorry,2018,506,22966
Trailer/Lorry,2019,367,15044
Motorcar,2000,6720,50194
Motorcar,2001,7231,50473
Motorcar,2002,3054,15597
Motorcar,2003,8127,52741
Motorcar,2004,8340,54091
Motorcar,2005,4525,38782
Motorcar,2006,3535,28607
Motorcar,2007,3514,26691
Motorcar,2008,3303,25274
Motorcar,2009,3556,24960
Motorcar,2010,3003,22527
Motorcar,2011,4868,25570
Motorcar,2012,4677,24439
Motorcar,2013,3944,19900
Motorcar,2014,3536,19704
Motorcar,2015,3710,18258
Motorcar,2016,3814,19073
Motorcar,2017,5359,26024
Motorcar,2018,4111,22966
Motorcar,2019,2910,15044
Motorcycle,2000,33645,50194
Motorcycle,2001,33627,50473
Motorcycle,2002,8782,15597
Motorcycle,2003,34248,52741
Motorcycle,2004,35727,54091
Motorcycle,2005,27445,38782
Motorcycle,2006,19394,28607
Motorcycle,2007,18151,26691
Motorcycle,2008,17533,25274
Motorcycle,2009,17172,24960
Motorcycle,2010,15726,22527
Motorcycle,2011,16240,25570
Motorcycle,2012,15485,24439
Motorcycle,2013,12694,19900
Motorcycle,2014,12810,19704
Motorcycle,2015,11721,18258
Motorcycle,2016,12554,19073
Motorcycle,2017,17086,26024
Motorcycle,2018,15498,22966
Motorcycle,2019,9996,15044
Vans,2000,1156,50194
Vans,2001,1060,50473
Vans,2002,546,15597
Vans,2003,1056,52741
Vans,2004,921,54091
Vans,2005,381,38782
Vans,2006,286,28607
Vans,2007,281,26691
Vans,2008,241,25274
Vans,2009,191,24960
Vans,2010,213,22527
Vans,2011,364,25570
Vans,2012,337,24439
Vans,2013,255,19900
Vans,2014,232,19704
Vans,2015,242,18258
Vans,2016,176,19073
Vans,2017,380,26024
Vans,2018,259,22966
Vans,2019,170,15044
Bicycle,2000,2128,50194
Bicycle,2001,2208,50473
Bicycle,2002,514,15597
Bicycle,2003,2226,52741
Bicycle,2004,2354,54091
Bicycle,2005,1565,38782
Bicycle,2006,1190,28607
Bicycle,2007,979,26691
Bicycle,2008,818,25274
Bicycle,2009,785,24960
Bicycle,2010,613,22527
Bicycle,2011,598,25570
Bicycle,2012,516,24439
Bicycle,2013,417,19900
Bicycle,2014,307,19704
Bicycle,2015,255,18258
Bicycle,2016,241,19073
Bicycle,2017,384,26024
Bicycle,2018,320,22966
Bicycle,2019,201,15044
Pedestrian,2000,0,50194
Pedestrian,2001,0,50473
Pedestrian,2002,0,15597
Pedestrian,2003,4049,52741
Pedestrian,2004,3980,54091
Pedestrian,2005,3523,38782
Pedestrian,2006,2799,28607
Pedestrian,2007,2738,26691
Pedestrian,2008,2399,25274
Pedestrian,2009,2367,24960
Pedestrian,2010,2161,22527
Pedestrian,2011,1859,25570
Pedestrian,2012,1629,24439
Pedestrian,2013,1238,19900
Pedestrian,2014,1356,19704
Pedestrian,2015,1035,18258
Pedestrian,2016,1040,19073
Pedestrian,2017,855,26024
Pedestrian,2018,1103,22966
Pedestrian,2019,725,15044
Others,2000,4395,50194
Others,2001,4311,50473
Others,2002,1367,15597
Others,2003,706,52741
Others,2004,446,54091
Others,2005,276,38782
Others,2006,196,28607
Others,2007,176,26691
Others,2008,178,25274
Others,2009,175,24960
Others,2010,130,22527
Others,2011,267,25570
Others,2012,501,24439
Others,2013,259,19900
Others,2014,347,19704
Others,2015,291,18258
Others,2016,292,19073
Others,2017,577,26024
Others,2018,476,22966
Others,2019,354,15044
