Type of road user,Year,Condition,Value
Pedestrians,2000,Deaths,721
Pedestrians,2000,Injuries,3895
Pedestrians,2001,Deaths,645
Pedestrians,2001,Injuries,3721
Pedestrians,2002,Deaths,650
Pedestrians,2002,Injuries,3865
Pedestrians,2003,Deaths,683
Pedestrians,2003,Injuries,4049
Pedestrians,2004,Deaths,675
Pedestrians,2004,Injuries,3980
Pedestrians,2005,Deaths,601
Pedestrians,2005,Injuries,3523
Pedestrians,2006,Deaths,595
Pedestrians,2006,Injuries,2204
Pedestrians,2007,Deaths,636
Pedestrians,2007,Injuries,2102
Pedestrians,2008,Deaths,598
Pedestrians,2008,Injuries,1801
Pedestrians,2009,Deaths,589
Pedestrians,2009,Injuries,1778
Pedestrians,2010,Deaths,626
Pedestrians,2010,Injuries,1535
Pedestrians,2011,Deaths,530
Pedestrians,2011,Injuries,1329
Pedestrians,2012,Deaths,530
Pedestrians,2012,Injuries,1099
Pedestrians,2013,Deaths,455
Pedestrians,2013,Injuries,783
Pedestrians,2014,Deaths,515
Pedestrians,2014,Injuries,841
Pedestrians,2015,Deaths,20
Pedestrians,2015,Injuries,115
Pedestrians,2016,Deaths,29
Pedestrians,2016,Injuries,109
Pedestrians,2017,Deaths,23
Pedestrians,2017,Injuries,53
Pedestrians,2018,Deaths,39
Pedestrians,2018,Injuries,103
Pedestrians,2019,Deaths,27
Pedestrians,2019,Injuries,69
Cyclists,2000,Deaths,236
Cyclists,2000,Injuries,2005
Cyclists,2001,Deaths,232
Cyclists,2001,Injuries,2065
Cyclists,2002,Deaths,235
Cyclists,2002,Injuries,1971
Cyclists,2003,Deaths,248
Cyclists,2003,Injuries,2059
Cyclists,2004,Deaths,283
Cyclists,2004,Injuries,2354
Cyclists,2005,Deaths,213
Cyclists,2005,Injuries,1565
Cyclists,2006,Deaths,228
Cyclists,2006,Injuries,962
Cyclists,2007,Deaths,183
Cyclists,2007,Injuries,796
Cyclists,2008,Deaths,191
Cyclists,2008,Injuries,627
Cyclists,2009,Deaths,202
Cyclists,2009,Injuries,583
Cyclists,2010,Deaths,192
Cyclists,2010,Injuries,492
Cyclists,2011,Deaths,160
Cyclists,2011,Injuries,347
Cyclists,2012,Deaths,516
Cyclists,2012,Injuries,360
Cyclists,2013,Deaths,151
Cyclists,2013,Injuries,236
Cyclists,2014,Deaths,117
Cyclists,2014,Injuries,162
Cyclists,2015,Deaths,130
Cyclists,2015,Injuries,272
Cyclists,2016,Deaths,142
Cyclists,2016,Injuries,273
Cyclists,2017,Deaths,113
Cyclists,2017,Injuries,251
Cyclists,2018,Deaths,88
Cyclists,2018,Injuries,180
Cyclists,2019,Deaths,82
Cyclists,2019,Injuries,143
Motorcar drivers,2000,Deaths,543
Motorcar drivers,2000,Injuries,4038
Motorcar drivers,2001,Deaths,527
Motorcar drivers,2001,Injuries,4335
Motorcar drivers,2002,Deaths,558
Motorcar drivers,2002,Injuries,4442
Motorcar drivers,2003,Deaths,682
Motorcar drivers,2003,Injuries,5208
Motorcar drivers,2004,Deaths,1208
Motorcar drivers,2004,Injuries,8340
Motorcar drivers,2005,Deaths,719
Motorcar drivers,2005,Injuries,4525
